subject_id,session,status
S1,Midterm 1,Success
S1,Midterm 2,Success
S1,Final,Success
S10,Midterm 1,Success
S10,Midterm 2,Success
S10,Final,Success
S2,Midterm 1,Success
S2,Midterm 2,Success
S2,Final,Success
S3,Midterm 1,Success
S3,Midterm 2,Success
S3,Final,Success
S4,Midterm 1,Success
S4,Midterm 2,Success
S4,Final,Success
S5,Midterm 1,Success
S5,Midterm 2,Success
S5,Final,Success
S6,Midterm 1,Success
S6,Midterm 2,Success
S6,Final,Success
S7,Midterm 1,Success
S7,Midterm 2,Success
S7,Final,Success
S8,Midterm 1,Success
S8,Midterm 2,Success
S8,Final,Success
S9,Midterm 1,Success
S9,Midterm 2,Success
S9,Final,Success
