,time_0,time_1,time_2,time_3,time_4,time_5,time_6,time_7,time_8,time_9,time_10,time_11,time_12,time_13,time_14,time_15,time_16,time_17,time_18,time_19,time_20,time_21,time_22,time_23,time_24,time_25,time_26,time_27,time_28,time_29,time_30,time_31,time_32,time_33,time_34,time_35,time_36,time_37,time_38,time_39,time_40,time_41,time_42,time_43,time_44,time_45,time_46,time_47,time_48,time_49,time_50,time_51,time_52,time_53,time_54,time_55,time_56,time_57,time_58,time_59
scale_0,0.0004083897145115752,10.354424745491738,0.014146834272337315,0.002251664609481111,4.253320210392192e-06,3.948442379739319e-06,3.555330992876446e-06,3.763935391475607e-06,3.299458456963034e-06,3.943985043802111e-06,3.564334574773628e-06,3.727331657855889e-06,3.7507795955052064e-06,3.6313971867847623e-06,3.9239475047637715e-06,4.0521410602330755e-06,4.2258318127599385e-06,4.022138904221295e-06,3.6611384042894146e-06,4.549446029382653e-06,3.5977092132043435e-06,4.686742055140374e-06,4.208263038170843e-06,3.483755994506528e-06,4.1196779599709224e-06,4.092968451154678e-06,3.5530459035324117e-06,4.824272311761346e-06,3.143844990776866e-06,4.4466211285165236e-06,3.689768468615062e-06,3.761485241873093e-06,3.613775653181089e-06,4.543864228368674e-06,3.642598068154485e-06,4.3753690318949586e-06,4.6198411103870285e-06,4.157587399394637e-06,4.363691221390402e-06,3.872273137315115e-06,3.4995389451562816e-06,3.621987180268749e-06,3.4792941834126097e-06,3.4196368766305506e-06,3.9315687016557785e-06,4.163905763667312e-06,3.679607646550123e-06,3.831599360012346e-06,3.895524637303424e-06,4.196019658077183e-06,4.224982625698064e-06,4.262045810292549e-06,3.949443996807681e-06,4.022972407231182e-06,3.63030100397602e-06,3.7218738412362237e-06,4.954913691417784e-06,0.0022740861708520216,0.013965000391491606,10.352594816564324
scale_1,1.9510582898830022,1.9951980927962574,0.03639912228034028,6.857485182392253e-05,4.581309566495062e-06,4.990877173948033e-06,4.833089814693354e-06,5.054305390619189e-06,4.275130731706577e-06,5.491426576304892e-06,4.886609782716887e-06,4.958569754524119e-06,4.8734626640395455e-06,5.135966915713237e-06,5.473616351215996e-06,5.2989592023116976e-06,5.741621644604156e-06,5.534436235054949e-06,4.390940439967484e-06,6.48406710908994e-06,4.984903427875656e-06,5.5592903439536436e-06,5.721000739001933e-06,4.709843735488235e-06,5.408307440029299e-06,5.813086488811788e-06,4.679709973449568e-06,6.7977605008190265e-06,4.3724444957470915e-06,5.525769910429906e-06,4.894042850635784e-06,5.2482374757363e-06,4.628790724994057e-06,6.116587262448798e-06,5.430738340562038e-06,5.8424631682911055e-06,6.41203265755452e-06,5.366885102499841e-06,5.096974898573499e-06,5.00524217543772e-06,4.680171046003019e-06,4.839923326190941e-06,4.714869082336739e-06,5.2377375180928575e-06,5.297861394668873e-06,5.068976662320003e-06,4.5917222386565556e-06,5.185133896789145e-06,5.481260270507033e-06,5.7237161691538115e-06,5.620795243325709e-06,5.6488089268981035e-06,4.854506435005153e-06,5.246813313534943e-06,4.9289259365360656e-06,5.363024217551737e-06,0.0006047466375333146,0.1667318477792965,0.5213889373370175,28.83528420437532
scale_2,30.50381486181721,4.7346876054472204,0.01620590124184922,0.005890374487760553,2.2132887737804017e-05,4.5096566522875305e-06,4.652530713832941e-06,4.833233384784509e-06,4.943181371435738e-06,4.412778140878346e-06,5.263575336844341e-06,5.040927737435171e-06,4.9946198215493155e-06,4.880951625051465e-06,5.2958587104654665e-06,5.632407098131244e-06,5.086264739123089e-06,5.491505701384728e-06,5.4639051144219e-06,4.542112449794382e-06,6.453078136807895e-06,5.005303441217687e-06,5.084201673116348e-06,5.6185363053254745e-06,4.919503516437151e-06,5.450677846607454e-06,6.014456149111759e-06,4.807633563199709e-06,6.465938992105352e-06,4.674668113434769e-06,5.166825853929004e-06,4.985083913151595e-06,5.419093277366321e-06,4.533121345264849e-06,5.9351889968332795e-06,5.902308685051296e-06,5.831023689895213e-06,6.1746545668551485e-06,4.888920362411868e-06,4.715304190350546e-06,5.041670680307354e-06,4.9291298132595025e-06,4.8351188059392825e-06,5.037880912632037e-06,5.447229170526057e-06,4.98016990865869e-06,4.751735921741497e-06,4.533723411513693e-06,5.189256644079537e-06,5.5917665137966925e-06,5.7102179035545646e-06,5.561046289783328e-06,5.382050192702669e-06,4.7072378882089256e-06,4.9893777299729105e-06,5.618306334339894e-06,0.00037317327085532935,0.14894786783822087,1.0710485152912383,3.287110842595996
scale_3,3.2540975511560077,11.811658120979919,2.0939243284675984,0.04267287505250532,1.6039085688534058e-05,3.902427214803817e-06,2.8751289701608245e-06,2.6899277552418095e-06,3.130546036249274e-06,2.9599168678786393e-06,2.9432906765305504e-06,3.0746582904115395e-06,3.150600852727535e-06,3.219832555060573e-06,3.064284393113629e-06,3.434639875436755e-06,3.648735062216007e-06,2.9308304856411704e-06,3.3457587743476557e-06,3.1774176130555002e-06,3.1334569108786475e-06,3.851505252464516e-06,3.055440600609759e-06,3.210196183431706e-06,3.4342340349513206e-06,3.053029355906477e-06,3.641693472214972e-06,3.675711286878487e-06,3.2523918164048203e-06,3.6537324151325084e-06,2.9449224387933982e-06,2.9847817903180376e-06,3.2682036845881137e-06,3.502016934364621e-06,3.0167172869209993e-06,3.698803198374105e-06,3.830685739390813e-06,3.533429228498113e-06,3.6038994329734467e-06,2.755554401984468e-06,3.0191382736254075e-06,3.16277680141675e-06,3.2342190274562644e-06,3.043720388172245e-06,3.3426758395516293e-06,3.183319874451298e-06,2.93313586170219e-06,2.9426883653456088e-06,3.0187349654888516e-06,3.3456342607021615e-06,3.65146683378174e-06,3.532578623447516e-06,3.4786164304589886e-06,3.1034674709307905e-06,2.9025895586360828e-06,3.1025870473392425e-06,0.0007277112367471626,0.13704550037226162,2.330043432567234,2.8402955156912175
scale_4,0.00022832364134491302,0.7393304081485086,0.17744919455439018,0.006968777566522409,6.332410663338737e-05,1.8467570856064526e-06,1.7018552465946773e-06,1.4942200284108083e-06,1.8817026885075914e-06,1.7874962543473104e-06,1.7534111579852117e-06,1.661513583995409e-06,1.7562573726911935e-06,1.8679149549542415e-06,1.682275082800388e-06,2.0016390370715197e-06,2.0812234490873387e-06,1.6449059323185607e-06,2.0082615773009993e-06,1.7017730228648828e-06,1.7739739016377296e-06,2.0315849198533457e-06,1.7521474665903588e-06,1.9453449512426524e-06,1.9530036256220878e-06,1.6717443369549887e-06,2.1966659747554133e-06,1.9046509634580655e-06,1.902479579301488e-06,1.9201830387918178e-06,1.626567490743685e-06,1.487442208124993e-06,1.9060777894336811e-06,2.0593908008823036e-06,1.8929684675088076e-06,2.0699026931015773e-06,1.905633178225926e-06,1.7915065542268106e-06,1.9248815350255317e-06,1.6997715985801237e-06,1.804449067972859e-06,1.8258245237694416e-06,1.851025798047486e-06,1.7124293690046263e-06,1.7111008233236798e-06,1.5665930645159477e-06,1.6865255232619314e-06,1.7992406210259393e-06,1.8939855776898227e-06,1.9293829086571527e-06,1.9317359634258566e-06,1.8553886634819284e-06,1.8874352305899983e-06,1.855703326624903e-06,8.616193124412919e-06,0.002692754800871754,0.17419431031794033,2.6977574781932594,9.381318964243567,5.392188822594822
scale_5,12.95067191385949,3.1209888144686526,0.18805687455154727,0.004918605184376934,1.387186167917434e-05,2.2305218890706055e-06,2.6102071139251843e-06,2.5288516234769914e-06,2.466561952253752e-06,2.8175437048535723e-06,2.8653087577305136e-06,2.6485472876871964e-06,2.4750313023673805e-06,2.5870435216425158e-06,2.5535193941498486e-06,2.4288328314160983e-06,2.9060239492548245e-06,3.0243931218858153e-06,2.9062020332929123e-06,2.986747593856064e-06,2.4754858107180182e-06,2.4956103928069305e-06,2.7608700361910663e-06,2.7188565635912777e-06,2.9732568946629398e-06,2.817181021379785e-06,2.5938376011991764e-06,2.8690582106020172e-06,2.684025567024851e-06,2.7975560536238815e-06,2.847964718472559e-06,2.367358288136274e-06,2.0980362988240117e-06,2.658380488957675e-06,2.923486560145039e-06,2.8041107884068157e-06,2.68126636272371e-06,2.406693821854541e-06,2.580216363039767e-06,2.816714480266895e-06,2.6996921962325684e-06,2.5938867722337457e-06,2.614002852921876e-06,2.6005281020284845e-06,2.397851186436203e-06,2.274333918406393e-06,2.2893615699007423e-06,2.536432078976638e-06,2.939054634416825e-06,2.6977982259133713e-06,2.7300114756065505e-06,2.4273200839328502e-06,2.5229218524571052e-06,3.4225306206558775e-06,7.83106064169126e-05,0.006873294946759476,0.22781320813719988,2.837181255357861,12.681969789306907,22.879955293196296
scale_6,29.148953553812294,12.502025368733662,2.0388358184185096,0.1572117099255958,0.005278577010662642,7.127059965201432e-05,3.854006504010209e-06,3.6653368271761856e-06,3.406653362762574e-06,3.657374727494411e-06,3.998163930051157e-06,3.86418072080299e-06,3.52979177465409e-06,3.4414405804707115e-06,3.5665421168486626e-06,3.338229241574281e-06,3.604008204640568e-06,4.232323026483181e-06,4.134162236394838e-06,4.139688026647252e-06,3.7768990971920455e-06,3.2761595179022947e-06,3.6324642751314037e-06,3.7620980416217797e-06,3.948951804266171e-06,4.1065554312150545e-06,3.6264043502649956e-06,3.716170234689127e-06,3.820212775153947e-06,3.739090702481992e-06,4.009635563608916e-06,3.658444393208352e-06,2.944164243258263e-06,3.142908401792406e-06,3.907431305630369e-06,3.922492480271286e-06,3.721869300519946e-06,3.4535146980274403e-06,3.339204438342317e-06,3.7641367691288764e-06,3.828550006126068e-06,3.599284951016697e-06,3.5632389598704615e-06,3.5966973381236826e-06,3.414572662968707e-06,3.2181934994521023e-06,3.121310031117554e-06,3.3275956384635347e-06,3.8441941070385615e-06,3.7238308488232583e-06,3.829806059520284e-06,3.356634012264272e-06,3.377020498727134e-06,4.354596791913141e-06,6.565053047885425e-05,0.00418626040357236,0.14191537696456,2.050747847425292,10.945966960822416,27.946367911402405
scale_7,34.5509458946396,17.77616822826038,3.4454040867240736,0.2620712066998308,0.00728579407910937,5.6126516054873846e-05,4.058966144635969e-06,4.6544449683122675e-06,4.399703259164935e-06,4.474607190731383e-06,4.991998994601105e-06,4.999524995844623e-06,4.602807099648055e-06,4.396876741486733e-06,4.691361368254275e-06,4.466012970949889e-06,4.355862264047019e-06,5.1855422430094925e-06,5.142905709058277e-06,5.373674590663922e-06,5.179110945684556e-06,4.276614398406236e-06,4.6218296188231e-06,4.758423774958878e-06,4.772774652708486e-06,5.375604814730773e-06,4.881152762852093e-06,4.802298028428705e-06,4.965529199105045e-06,4.592242025698002e-06,4.9133019730727215e-06,5.029536687781258e-06,4.041240325087599e-06,3.87929536627752e-06,4.912226530802785e-06,5.197872531349963e-06,4.995409155422236e-06,4.6055491773155835e-06,4.173401258118201e-06,4.7464838458284244e-06,5.061485275154944e-06,4.722892660501582e-06,4.56741281905282e-06,4.682132514296379e-06,4.3922637338197965e-06,4.1606640120806944e-06,4.053952102686802e-06,4.2327447630205465e-06,4.843246894295305e-06,4.842156207446415e-06,5.0627770341698635e-06,4.413739430821784e-06,5.104530606610141e-06,4.1815042094412806e-05,0.001591635447893901,0.01988454399589389,0.08354997716416188,0.05377163229913781,5.325984524202831,26.691523807946602
scale_8,33.98832514948257,19.950646408845355,3.4328432289900994,0.13667187765067343,0.00041356952817401193,0.0005836325266822064,4.5249129783520024e-05,6.902252764442176e-06,6.508422051763279e-06,5.971141178399615e-06,6.692807289779728e-06,6.879502738033386e-06,6.70849096046993e-06,6.121741746306042e-06,6.79830572969871e-06,7.148634202315747e-06,6.0731221851452524e-06,6.961114497910711e-06,6.974992719884509e-06,6.937397011220679e-06,7.943373622879398e-06,6.513684297394145e-06,6.584505018953476e-06,6.955715304773852e-06,6.132146587711384e-06,7.5376155784599135e-06,7.546696064868279e-06,6.796228746423578e-06,7.5786643452843554e-06,6.234283152910215e-06,6.2420854352446135e-06,7.19667319752634e-06,6.694991977783382e-06,5.637382162578944e-06,6.8738994839419916e-06,7.563478674059011e-06,7.3915368760036836e-06,7.26514893435118e-06,6.1623144861724564e-06,6.524148524386062e-06,7.219905654804843e-06,7.014462948432312e-06,6.515273245622411e-06,6.556348090729781e-06,6.30466870054052e-06,6.4950559059987885e-06,5.957114480998463e-06,6.095197443822581e-06,6.686206004684278e-06,6.926407737980078e-06,7.311768293059379e-06,6.804080168664771e-06,6.114740108151379e-06,7.846649678963106e-05,0.009595516915100306,0.25236695394495867,2.122753593448847,5.007096615697071,0.20414930152573188,10.321868283907031
scale_9,0.0008363591428015839,21.293267256751253,20.72639584076971,3.494781958578403,0.02849810192033252,0.023250220675498603,0.004594503143895398,0.000169094798023266,1.089925667210354e-05,1.1500449274086138e-05,1.0015953528016321e-05,1.0393234277306056e-05,1.0693139778483019e-05,1.1261094866635722e-05,1.0546898336300474e-05,1.0636050688797933e-05,1.2848284606162545e-05,1.0757616275341973e-05,1.071782980635445e-05,1.1586896700986888e-05,1.0073047814826715e-05,1.2753888270796435e-05,1.1566888536652994e-05,1.0650802461026472e-05,1.2302813857511491e-05,1.0237650334969875e-05,1.1440203035264795e-05,1.3453862473301868e-05,1.0997916397301553e-05,1.2566586301175127e-05,1.1052234472356746e-05,9.20577796635636e-06,1.0875804433825797e-05,1.2440769672981251e-05,1.070376935173038e-05,1.131461607704362e-05,1.2655076065965892e-05,1.1856314150236188e-05,1.236050056737715e-05,1.0947403563878623e-05,1.0314553359711063e-05,1.1693600205508327e-05,1.1703504117686236e-05,1.0959095005095606e-05,1.0710129314246349e-05,1.051393018192325e-05,1.0334917147904592e-05,1.0404542646832187e-05,1.0644205087088205e-05,1.1098953864256263e-05,1.1388602760709214e-05,1.184755545945243e-05,1.2542558446902488e-05,0.00014828284956399217,0.004583522608096534,0.023165748863765382,0.027972586173010492,3.4882945514867343,20.705383725933633,21.295640445667953
