,time_0,time_1,time_2,time_3,time_4,time_5,time_6,time_7,time_8,time_9,time_10,time_11,time_12,time_13,time_14,time_15,time_16,time_17,time_18,time_19,time_20,time_21,time_22,time_23,time_24,time_25,time_26,time_27,time_28,time_29,time_30,time_31,time_32,time_33,time_34,time_35,time_36,time_37,time_38,time_39,time_40,time_41,time_42,time_43,time_44,time_45,time_46,time_47,time_48,time_49,time_50,time_51,time_52,time_53,time_54,time_55,time_56,time_57,time_58,time_59
scale_0,0.0001082131476611868,10.619206411780937,0.014770888003785594,0.002463642138363559,0.0004521984161082712,3.722570672390411e-05,9.367821457853172e-05,3.104195222234931e-05,3.172464843325723e-05,4.4330842096347695e-05,2.237384165636464e-05,3.951210695007326e-05,2.4594146120451942e-05,4.070067030489247e-05,3.984425814733453e-05,2.3935520766145203e-05,4.867673096859971e-05,0.00014120648780867985,0.00017582662179217408,0.0001676187949911331,0.00011777472537428276,0.00011215947980904023,7.093126752118498e-05,0.00028451102756391815,0.00048310257481824374,4.003393238429103e-05,0.00017510383495715322,5.1920345245239716e-05,4.4084261637646885e-05,0.0003489611360212225,0.00010580021285169243,0.00043082582107960407,8.845633966322007e-05,0.00022168316722592467,9.812746020613011e-05,5.184784228136167e-05,0.0002230095623630437,2.2854412893483714e-05,7.202319744330336e-05,3.646929416157894e-05,7.13117944992867e-05,0.00010485191099930509,3.9136845926348554e-05,9.45138199306959e-05,2.4074942731627422e-05,0.0001392209493949768,0.00030503091427842155,0.00011556343936441099,0.0004097001098918965,9.507020588917497e-05,0.00010864249428485361,0.000451346570257992,0.00045228597571245183,0.0002086000848925692,0.00029188413823750923,0.00020378631245241013,0.0003509947045181732,0.0030327096465985466,0.014443877871101445,10.627082984694077
scale_1,1.994333496942545,2.048156319356306,0.03765416419680885,0.00014863496351559327,0.0004731664572980193,5.8889990998579284e-05,4.19203341695645e-05,4.868556983411372e-05,3.86783254950332e-05,5.330046632463721e-05,2.2740017976253863e-05,4.829249299358381e-05,4.138388750799203e-05,4.421605870323058e-05,4.242969125431194e-05,4.330559342629338e-05,9.36166240954948e-05,0.00025918258096294604,0.0002796310405661493,9.611121959219168e-05,6.937661906008276e-05,0.00015849296522911936,0.0001716283751768186,0.00031696812154976357,0.0004961641501581721,3.770171796527829e-05,5.3728747865188856e-05,0.00013613402380481497,8.865199891329454e-05,0.0005584879967578785,8.901832342088337e-05,0.000502722346846971,4.792779451491011e-05,0.00023615893045359006,0.00020137845397141788,5.5234327259026796e-05,0.00022193919769356594,3.92403140200952e-05,2.9862025088034602e-05,7.447919380617374e-05,9.770519160078254e-05,0.00014125268001855923,1.6169512913836228e-05,5.864383609295996e-05,3.356740778675749e-05,0.000230428496924299,0.0005831076845806415,0.00012753110477673718,0.00026229171013702373,0.00014324435918560622,0.0002665450224398043,0.0006851339103714742,0.0004229007710256029,0.00011928890293528743,0.00024128645787530574,0.00042259503439251195,0.0010267489617199032,0.17321263693698954,0.5341720867210358,29.58608649213421
scale_2,31.274523566034173,4.845173171205677,0.016908042134358304,0.006656705106612034,7.103047608624045e-05,0.0003330341817356047,9.308466233711205e-05,2.6842418511851234e-05,3.9891268637303166e-05,3.158421276267068e-05,5.55498052408948e-05,2.0298348417620474e-05,3.9897214208596046e-05,4.58731504763536e-05,4.0629316418806e-05,3.3456881105659035e-05,8.062534544461403e-05,9.486289708478687e-05,0.00022030322693034586,0.00020729935778991153,6.092699327245493e-05,9.784785358381753e-05,0.00010915253362671087,0.0002725108724087275,0.0001425687801346511,0.00028450855974736244,4.6504562926264075e-05,4.571239700215775e-05,0.00015736217273538367,0.00016452554640820498,0.0004893131984076358,9.282046008119043e-05,0.00040444363461979865,7.629092454677906e-05,0.00014330680227768848,0.00024992947650896594,3.856871514312555e-05,0.00014999332198129518,5.238102865830145e-05,4.0156509681700334e-05,7.949673610372992e-05,5.195974709540019e-05,0.0001006636312951263,1.918687762961578e-05,4.26529845761849e-05,0.00012410165802791972,0.00016804502403476847,0.0004461686039048717,9.794293127581508e-05,0.00024580591060011445,0.00017954981269646501,0.0004113342489751295,0.00044997687432036485,0.00021745904568355135,8.21888370462306e-05,0.0003218070515552489,0.0008571066263813068,0.15325233630967777,1.102801468693839,3.369485050075308
scale_3,3.3393576350923517,12.108298008434545,2.142709910313136,0.043635680060298936,0.00036731446445469176,2.8664010363491273e-05,0.00012514854045318793,4.164205653366367e-05,1.984961346583625e-05,2.087287369370032e-05,1.892758872939121e-05,3.5686369147449333e-05,1.2314645338080723e-05,2.2814437967202217e-05,2.9383582446763393e-05,2.677141758637589e-05,2.2301186112835787e-05,9.730904994700505e-05,7.331320282002469e-05,0.00011589908885295293,6.305042745189525e-05,2.9554423134524904e-05,0.0001256329924164431,1.6115442548062172e-05,0.00022240253874368472,2.5357230082932837e-05,9.618044890810712e-05,2.5408284510168356e-05,7.521473877425149e-05,7.895315678894596e-05,0.00022072203193869083,0.00019598703104533512,9.729631312324798e-05,0.00019152252007331646,7.746811676606394e-05,6.429517135139905e-05,0.00016380987512393776,1.0941585796432574e-05,5.662115816078091e-05,3.130896005962902e-05,4.001543960092305e-05,5.288753485955123e-05,1.6094669272871375e-05,3.89559525168328e-05,3.14581726880399e-05,3.43481798930187e-05,0.00014979384967189023,0.00013232738075884663,0.00016434980297334357,6.117832495485278e-05,0.00022904899237481766,9.417788849931788e-05,0.0003538510463646574,0.00013445087734527747,5.471168580176189e-05,9.702363431370456e-05,0.0009903107046355692,0.1400551297277207,2.3913748302157876,2.9174691025425066
scale_4,7.7689331915407e-05,0.7581738309873998,0.1815302139385749,0.0072373794898762485,0.00019159491837359585,1.3013307176033552e-05,1.5032767106931383e-05,7.684326429299716e-06,1.5536659306645657e-05,8.885314126855467e-06,1.125041169618518e-05,1.7885851406846788e-05,1.0548299958152007e-05,1.1405681829451274e-05,1.7081555018522675e-05,1.3962852482359854e-05,3.280077713781564e-05,6.58224586498284e-05,3.831711414385398e-05,4.0712611132680254e-05,1.380324839853393e-05,2.9072252327012917e-05,5.591259035906438e-05,1.9385382761883432e-05,6.220718851983907e-05,1.548512786929508e-05,3.353375776974549e-05,3.110934496022141e-05,8.763076147111556e-05,2.425157423530726e-05,0.00012932297875060332,4.851060982648478e-05,5.513447238948454e-05,8.623772459954963e-05,3.108692064479291e-05,3.858421821729519e-05,6.209728891397423e-05,1.2786236375179154e-05,1.6454315298685566e-05,1.14155490490829e-05,2.39255617194082e-05,1.8411074949849482e-05,1.0919163236828053e-05,2.8241876034531337e-05,4.094866171810857e-05,5.055462621349817e-05,4.9478055830437756e-05,8.477662304844643e-05,4.491590368901815e-05,7.062682714556257e-05,0.0001412679681001248,4.675254388093834e-05,0.00014692950269336706,0.00011813489454583114,8.64569434802588e-05,0.002839830498786119,0.17803806515572027,2.7646825657559644,9.623518418881941,5.532923489844151
scale_5,13.267137164787382,3.195709076877975,0.19252145824276698,0.005072034590804284,0.00011172658263288521,0.00011790481705340378,4.126054856359993e-05,1.4672096371317806e-05,1.6760643020357886e-05,1.936695745608911e-05,9.794715388512384e-06,1.624316913815798e-05,2.3832195220714646e-05,1.868434175494702e-05,1.8521402044001472e-05,2.3362205767028346e-05,1.8271001851420074e-05,5.6213509726716726e-05,7.2887467126227e-05,5.1492003228098325e-05,5.064621331447914e-05,1.908756878651029e-05,4.638805397029737e-05,3.251224515487343e-05,3.644259459518451e-05,3.513578773723657e-05,3.9282101781971185e-05,6.008670534340939e-05,9.929231782455707e-05,8.131562617774903e-05,3.349448238542693e-05,9.149422921029862e-05,3.745025582356199e-05,5.428906820558054e-05,8.169364735989676e-05,2.3004402713800667e-05,4.702891364602482e-05,6.079870934992725e-05,3.8248550241199904e-05,1.719560872591194e-05,1.1056695607166747e-05,2.4968888346989118e-05,2.2641524900873433e-05,3.076991106162531e-05,5.652618300694977e-05,6.203186321780707e-05,5.7445873139662734e-05,4.4409160469682147e-05,7.75856286433847e-05,6.444997763079842e-05,0.00012475149414238238,0.00011483007970833952,7.456999123020242e-05,0.00018522222465020173,0.0003536571147615147,0.007258160367510779,0.2333278961239436,2.9066080967330783,13.002418518424951,23.466583747327498
scale_6,29.869755237945743,12.805835042915346,2.08728055206587,0.16104764449116615,0.005446328213042135,0.00024086259854560108,0.00011843754132060698,3.8409053878633276e-05,2.2198756374317898e-05,2.6196094352366602e-05,2.00387202521477e-05,1.4307698235578883e-05,2.89525624629896e-05,3.079369918037943e-05,2.4753573298156593e-05,3.0388249437451255e-05,2.492393007821894e-05,3.959524875388911e-05,8.723256496118633e-05,8.932528258722466e-05,7.823885156300675e-05,4.6010366863839764e-05,3.417157821040518e-05,5.946180148348464e-05,3.062410492258467e-05,5.2116456658633536e-05,5.6297259810615526e-05,7.356968887104646e-05,0.00010706890941567571,0.00013081501667981023,5.149866821805229e-05,7.769399382674078e-05,8.955602396754706e-05,4.1831657983323046e-05,9.447527531225347e-05,6.937850503080504e-05,2.9648454599407253e-05,8.198179113446847e-05,7.644551642458347e-05,3.617515201559904e-05,1.3978760996179184e-05,2.1101975878243107e-05,3.594654057700339e-05,3.616889328159092e-05,5.9040380299725214e-05,8.454787399520488e-05,7.241580365833551e-05,4.810389694020725e-05,8.617002797095548e-05,0.00010421768747020138,0.00010552928302113309,0.00017490090983251233,9.21826069760658e-05,0.00017617108579590188,0.0004182547055086783,0.004634435486800493,0.145643482012376,2.100882715948588,11.21952041771443,28.65813588283754
scale_7,35.40774380291251,18.209418064793624,3.5276456006309225,0.2685107295433193,0.007503155394625933,0.0002360035970248021,0.00015344687261208752,5.02695964973868e-05,2.627885305241341e-05,3.553320351023867e-05,3.297725514917842e-05,1.4957198485049795e-05,3.243256651786146e-05,4.102271288358916e-05,2.66822112827924e-05,4.206113686767707e-05,5.154637472291111e-05,5.2190364569799554e-05,0.0001051841531270553,9.69419156444035e-05,9.967355039493226e-05,7.825163395557179e-05,4.060688323440092e-05,9.185360532092181e-05,4.041748937208105e-05,5.428379515606051e-05,5.6769772450121016e-05,7.208872375344459e-05,0.00012917605086464984,0.00022627004820274197,8.813061984522659e-05,9.393837094828037e-05,0.0001551699287949843,5.548063761876057e-05,0.0001235647106492779,0.00012740660060480931,3.0854961722047674e-05,8.151221041728546e-05,0.0001020158075315633,6.259472160338588e-05,2.5703668818545134e-05,2.041810842087132e-05,4.2224438097124835e-05,4.073492093093202e-05,7.074461341336756e-05,0.00012445292406190975,0.00013009277766243296,6.126364364271408e-05,8.917390568010887e-05,0.00015440989302968855,0.00013507875622157932,0.0002776720495263068,0.00014963428615944236,0.000185139166438676,0.002030562650803201,0.020699851031175366,0.08579787870622084,0.05489666591799296,5.456775060259887,27.369068230835197
scale_8,34.839629578285546,20.437178073549433,3.51406102660412,0.14042636760754393,0.0005011894036478367,0.0007817739344415232,0.00022235953287066281,5.424970105718947e-05,2.9595914891156978e-05,4.464717280640209e-05,6.416401405755604e-05,2.6207377320502183e-05,3.5361449792661256e-05,5.800557523142071e-05,3.6413154085661045e-05,6.114281375538406e-05,0.0001259210964173145,8.075789557343549e-05,0.00015359028993221127,0.00013027035528970929,0.00010568278795975128,0.0001456051744699134,4.199119847319918e-05,0.00014673433407834263,9.381734999411533e-05,9.764711157122892e-05,6.555300224949135e-05,8.647428461196273e-05,0.0001315547321028598,0.00033864582712123435,0.0002634905923854226,0.00010505819230617192,0.0003486398073141188,0.00011811706428448113,0.00016200540350117407,0.0002666794497506177,7.113658909629642e-05,8.217775454898331e-05,0.00012226806180741864,9.395222203851484e-05,6.28749039073663e-05,2.7182876845461584e-05,6.914909632257985e-05,6.590740830809787e-05,0.00010238006220361206,0.00016303044880198358,0.00022139207628899216,0.00018243427797886162,0.00010015768917860014,0.0002939700419732797,0.0001777929858025098,0.0004243362061710275,0.0004892892259060774,0.0002426574577291589,0.010233168011913372,0.2584843034274828,2.174733151069545,5.137836330095003,0.21107483083927606,10.58017135155823
scale_9,0.00013823542258385033,21.83586205908299,21.235632083020313,3.5762713990009463,0.030185905674072425,0.02404143025085037,0.00479979306496033,0.000391474056051161,6.882254437507457e-05,6.751661286969249e-05,4.5885033124767325e-05,0.00011564683354527089,7.484298933230641e-05,4.619032794208569e-05,9.98808709523802e-05,8.774904787961004e-05,7.356446630414138e-05,0.00027350808993394695,0.0002312612730189646,0.00023222174371440748,0.00022986402104892213,7.902977002395892e-05,0.00031442280947588126,9.545692862383285e-05,0.00025777592083523116,0.00021793727585566296,0.00013132416992510452,0.0001628121157925134,0.0002103461414987523,0.0002280527694696092,0.0004426042548855652,0.0007041861132035135,0.00012546012712258994,0.0006187060618585121,0.0004039675211960629,0.00014381591191349333,0.0004942610094566232,0.0002319009937759002,7.193930455599711e-05,0.00015255501512094846,0.00012686901863202943,0.00015151669084649953,5.6379294309507575e-05,0.00010756537029964895,0.00017050960060909978,0.00017904656415437223,0.00028048813837027917,0.0003718069789038595,0.00046826849985881936,0.00012223505094899356,0.0006346846374630748,0.0004149089575301453,0.0005722818042032652,0.0011501778154242612,0.004986784659781073,0.02383369699725334,0.029180482474796456,3.5708839669054058,21.23362825634278,21.857309061140423
