,time_0,time_1,time_2,time_3,time_4,time_5,time_6,time_7,time_8,time_9,time_10,time_11,time_12,time_13,time_14,time_15,time_16,time_17,time_18,time_19,time_20,time_21,time_22,time_23,time_24,time_25,time_26,time_27,time_28,time_29,time_30,time_31,time_32,time_33,time_34,time_35,time_36,time_37,time_38,time_39,time_40,time_41,time_42,time_43,time_44,time_45,time_46,time_47,time_48,time_49,time_50,time_51,time_52,time_53,time_54,time_55,time_56,time_57,time_58,time_59
scale_0,1.347632522702387e-07,0.00022226586230390363,7.251973644860634e-07,2.685587043705666e-07,8.213255300842781e-07,4.6305752822938467e-07,4.332138743255345e-07,7.551305946303501e-07,9.137035773462596e-07,1.4503155543915143e-06,1.2526995245026828e-06,9.54587568619368e-07,5.550122262176975e-07,3.4770991196008805e-07,3.3679994823495844e-07,4.952469811451215e-07,2.5742395202631125e-07,3.7694119922912347e-07,2.97192965626487e-07,3.713665558183285e-07,2.2564053435225515e-07,6.356481151331886e-07,3.29037519287091e-07,9.909104353472644e-07,4.453034836713579e-07,9.6976748014185e-07,3.7958263110489987e-07,1.7859429693501472e-07,3.00193903492396e-07,1.893964491347825e-07,2.3060383185097394e-07,2.2668811828988734e-07,2.386021675947317e-07,2.069794785572811e-07,2.120668479720492e-07,3.7745702563413333e-07,1.8264963443724352e-07,4.410870009883619e-07,1.163520798282789e-07,1.4307860714265674e-07,1.413199945419052e-07,1.801361487254671e-07,2.1723876213623836e-07,3.5876174330042293e-07,2.282713310602431e-07,6.411617423783424e-07,1.9304454082570573e-07,5.704169045039644e-07,2.5375483735715883e-07,4.122066384339511e-07,3.981608559942491e-07,5.589112252652947e-07,3.6993231443832325e-07,6.882962927041462e-07,1.8690107669335465e-07,2.68148597148558e-07,3.0408390382262916e-07,7.763348209368124e-07,5.193760141608725e-06,0.0002260198794004392
scale_1,4.326795597295322e-05,4.149105694954293e-05,1.4379244320360285e-06,3.2694414489603845e-07,1.0842608350737093e-06,4.5617018232879004e-07,5.446703868050501e-07,2.167908730620135e-06,2.7751029809501344e-06,2.6639062317421807e-06,2.414283644444025e-06,5.120079167678869e-07,4.1387361345926435e-07,5.256475046337633e-07,4.430437342690415e-07,6.169251951889066e-07,3.7168008050099736e-07,3.975311381897849e-07,3.514917450764795e-07,8.535635568534991e-07,4.2048136230111437e-07,8.067620299910973e-07,5.168189626763593e-07,2.3837651992318787e-06,1.2774589499431802e-06,3.8639007424136687e-07,4.2441945517379456e-07,3.4930196786345504e-07,3.8763064376164127e-07,2.444923664672525e-07,2.9797095253239724e-07,3.5628613610196115e-07,3.698766220707399e-07,2.7708570310026454e-07,3.161139149759136e-07,6.954145511292265e-07,2.418684895374672e-07,3.945082662704363e-07,2.0268261701992738e-07,2.5448512066655196e-07,2.821905690496521e-07,3.689513361128089e-07,3.204986157806734e-07,6.543965912281934e-07,3.1734169463166604e-07,9.190770624335589e-07,5.267308790818571e-07,8.40302606921876e-07,3.446791501561525e-07,3.8676324912811197e-07,1.0226302090725492e-06,1.7329843596459862e-06,1.9601358869673924e-07,4.770388072233293e-07,3.791970949752988e-07,3.9620557402893545e-07,5.299863391286735e-07,4.272566214678316e-06,2.475566809272435e-05,0.0006308126933588701
scale_2,0.0006661576575083876,0.0001060004128570129,8.523714266865752e-07,5.026460181321576e-07,5.362174739453139e-07,1.0279247848270496e-06,6.716811193879152e-07,6.025740312775364e-07,3.063531743433811e-06,3.5041977206300117e-06,3.5357174029053432e-06,2.954195739511534e-06,7.492843476532448e-07,3.571128099053584e-07,5.385382719084188e-07,4.4124098514599934e-07,5.91097972071015e-07,4.1529478471387375e-07,3.4889545790968214e-07,4.119924283108098e-07,9.740875158576391e-07,5.722563759376272e-07,8.696072480072326e-07,6.737920310978046e-07,2.864723528512936e-06,1.6263729228225885e-06,2.7310053722369644e-07,4.09850788272856e-07,4.015157718149626e-07,4.14964846514215e-07,3.280555657012654e-07,3.2022178413578134e-07,3.745179862661789e-07,3.9655754851655844e-07,3.386538787391927e-07,3.680152307130932e-07,7.865246215211048e-07,2.6851062511097996e-07,2.6821379926494143e-07,2.552802712927516e-07,3.2622679634646395e-07,4.2514716597525855e-07,4.71208440240734e-07,3.292760272791783e-07,7.553356840822642e-07,3.509150926718181e-07,9.036063638249439e-07,7.142790804410655e-07,9.071434411689699e-07,3.8451353172365137e-07,3.4739945943743216e-07,1.536359363229741e-06,2.123867268193219e-06,2.9771645811038264e-07,3.554512367906016e-07,4.071616342847812e-07,4.162471645286966e-07,4.818438215019929e-06,2.3938769319543163e-05,8.623618331540743e-05
scale_3,7.05363029784108e-05,0.00025706173249496036,4.741024672830795e-05,1.286024497673295e-06,2.1218360812050417e-07,4.155908066044085e-07,6.387145470252788e-07,9.509968963778942e-07,5.362759869372003e-07,2.1177709993154836e-06,1.5591694374064594e-06,1.6905016095644398e-06,1.3273222556766708e-06,4.1586611000185754e-07,2.2851935588146844e-07,2.692739228768914e-07,2.4916179363588143e-07,3.1162461212113967e-07,2.8828356741912864e-07,2.2061601063268287e-07,2.9991578385631e-07,4.945413287047507e-07,5.435519802906094e-07,7.186971704716927e-07,3.854832455604709e-07,1.3276457714165318e-06,6.980343858155356e-07,1.645556146052312e-07,2.2350274171121172e-07,2.0641853303074572e-07,2.2274110039149515e-07,2.1623710678455447e-07,1.7636409715665981e-07,2.1369490513805428e-07,2.599811871210779e-07,2.2996972709942492e-07,2.3871821530241765e-07,4.4255026625998873e-07,1.5492445551814935e-07,1.193928258343192e-07,1.627097154978271e-07,1.851155358478182e-07,3.21330057029374e-07,2.9215182800165303e-07,2.1290550831622175e-07,4.7564450349764903e-07,2.33340321495674e-07,4.4371862140072184e-07,3.789760611332014e-07,4.5216937062938703e-07,2.7923507080067e-07,1.6278717648944832e-07,8.910837316544122e-07,9.358451380940394e-07,2.0640908954538616e-07,2.0394769252820351e-07,2.2786312271292624e-07,3.996347273408998e-06,5.418796273653457e-05,6.2254506134886e-05
scale_4,3.0285559158500404e-07,1.5807725178480263e-05,3.976631741191844e-06,4.4896435307954643e-07,2.6524583063683297e-07,4.0678487919156694e-07,1.2531914008011643e-06,1.876757219440829e-06,1.597531819195456e-06,1.633822830543602e-06,5.671994422900954e-07,2.119382208408535e-07,2.5396943978206003e-07,1.9172823867572138e-07,1.9500563728396626e-07,1.373908842496617e-07,1.3396215818953845e-07,2.1414543492799998e-07,3.450235903563637e-07,2.661177567119415e-07,2.507908422541674e-07,4.2560937097230653e-07,1.0546141349777152e-06,9.479360314198101e-07,2.044829910839158e-07,2.1957482352493866e-07,2.2222119509616421e-07,1.6543651019293406e-07,1.481640447958007e-07,1.3281481145054897e-07,1.4627941001584165e-07,1.6037281716412063e-07,1.2915526177287517e-07,1.643630511785155e-07,2.514036574967745e-07,1.4717800259562293e-07,1.2561997775959663e-07,2.1512501898078813e-07,1.7981850326475757e-07,1.7580249283787497e-07,1.667989230531512e-07,1.4456213218846665e-07,2.466038571596515e-07,2.0473850753435413e-07,2.9135687281103465e-07,4.023112704248173e-07,3.5511030731671203e-07,2.732003043725684e-07,2.974444961548676e-07,6.625810887194576e-07,7.771121454951637e-07,2.1886537978268406e-07,1.487297426384723e-07,2.3795406978133088e-07,1.993582297703291e-07,2.669228815786186e-07,4.544548597444943e-06,6.30710601087275e-05,0.00020868731661812103,0.00011748016337384023
scale_5,0.0002884075994006467,7.185181847728505e-05,5.252194917504176e-06,9.743277854406636e-07,8.779075417333654e-07,8.585096137918503e-07,1.6730457642902383e-06,3.8104469308398253e-06,5.051475871246248e-06,5.155847169256668e-06,3.96698009749785e-06,1.8671283093314323e-06,6.647126938410788e-07,4.783495635460967e-07,4.978187886541021e-07,4.778350772310826e-07,3.664567221428824e-07,3.5667802539522867e-07,5.974235967832993e-07,8.431888439406552e-07,7.649004206866946e-07,8.54584307162052e-07,1.606276207279995e-06,2.7738332244892605e-06,2.229307694279392e-06,9.78215925908073e-07,5.476041029143798e-07,5.33178991584014e-07,4.926538419663651e-07,4.2026249501319135e-07,3.7504181256031966e-07,4.021858039641346e-07,3.9682247842197563e-07,3.5797933945783715e-07,4.5241385160668317e-07,4.987094288454827e-07,2.9474337252769036e-07,2.582538822191637e-07,4.1294972938516057e-07,5.333558511293552e-07,5.370280934898564e-07,4.518497639018156e-07,4.267655679945277e-07,5.407851588037536e-07,6.192204933102962e-07,9.001185251227852e-07,1.099623078301747e-06,1.0638258511003738e-06,9.508355936125766e-07,1.4212407482654007e-06,2.3112886300028637e-06,2.173898996772965e-06,9.352149178006953e-07,4.150270047129998e-07,4.5585459200716455e-07,6.546600837873493e-07,5.797242169782095e-06,6.577168867518114e-05,0.00028678804764381273,0.0005062602988870595
scale_6,0.000644998091962346,0.00028103024796809813,4.829170070129656e-05,5.132111219175405e-06,1.4908323094295785e-06,1.3340906213116512e-06,1.7842428273670406e-06,4.044690540617449e-06,6.917866177216933e-06,7.928673401279946e-06,7.2184924734446556e-06,4.619767028866331e-06,1.868953803365558e-06,8.430613744540892e-07,7.498253717098758e-07,7.652097218561444e-07,6.534430546806853e-07,5.284258679007705e-07,7.018663204380191e-07,1.1171949694975253e-06,1.2522407490216986e-06,1.2184454452405326e-06,1.7930161766963005e-06,3.372451295901913e-06,4.0449224979355485e-06,2.509297401871769e-06,1.1177895588372242e-06,8.292915946586163e-07,8.006129531054098e-07,7.099381045308272e-07,6.087145701464173e-07,5.933095766714931e-07,6.18733266331605e-07,5.747485600963367e-07,5.931880749515441e-07,7.230036144707691e-07,6.002999554456908e-07,3.635584773676579e-07,4.92174320377265e-07,7.300544434377676e-07,8.24627510166531e-07,7.646098947211136e-07,6.394276726806483e-07,7.31137731961078e-07,8.880038983954161e-07,1.1515113058061926e-06,1.5750989632645213e-06,1.7024864965710793e-06,1.5720338817175586e-06,1.8349546282485715e-06,2.9300392538834082e-06,3.6545662429290938e-06,2.4603571679343103e-06,9.828686389079243e-07,6.399240205180366e-07,8.107704180322286e-07,3.9647303235646156e-06,4.75801002201945e-05,0.0002490556726753113,0.000623733474863143
scale_7,0.0007620079709915931,0.0003972368303675498,7.964910118742271e-05,7.619328217822864e-06,1.6491542851787025e-06,1.4628449811670804e-06,1.4275332450608226e-06,3.2782788903159453e-06,6.651124664848268e-06,8.268795746666308e-06,8.219470111299036e-06,5.867725080025049e-06,2.5019227996226306e-06,9.672267688554223e-07,7.559312623901438e-07,8.178732778629128e-07,7.673174445211844e-07,5.496718792769854e-07,5.965379421815219e-07,1.0956065481277175e-06,1.3290431255616264e-06,1.2068477493362449e-06,1.361971903240003e-06,3.0740706315182997e-06,4.547036519402878e-06,3.1879367066735894e-06,1.3674101921659703e-06,8.667577468502398e-07,8.549849198183772e-07,7.887419341488827e-07,6.458707701688594e-07,5.976642030652759e-07,6.724408089710229e-07,6.465788427242492e-07,6.013368903496091e-07,8.313986424838788e-07,8.156984208180767e-07,4.420152284429214e-07,4.390625410916105e-07,7.103135674205148e-07,8.959628355470471e-07,9.080843414761307e-07,6.830857698447547e-07,7.194145561494104e-07,8.332081285295468e-07,1.0021802605587788e-06,1.5137663277587608e-06,1.8052950835159095e-06,1.5117955832515714e-06,1.3340869841324991e-06,2.517362636124619e-06,4.0520491478546046e-06,3.130897563485922e-06,1.272972764911824e-06,7.228044423440599e-07,1.4610431510574337e-06,3.2314500623574778e-06,2.8960203551724014e-06,0.000125237329022003,0.0005981991640504178
scale_8,0.0007447048280541526,0.00044132248702544267,7.869557879766751e-05,4.120359226156949e-06,1.2186128129440582e-06,2.2654566011826154e-06,2.170200394722758e-06,2.22549783418069e-06,5.058353105625976e-06,6.390891400699176e-06,6.697084856541457e-06,5.993687279677354e-06,2.6338342303204283e-06,8.393479496796847e-07,5.703766121352929e-07,6.622366823888058e-07,8.304139553312434e-07,7.114431881886626e-07,4.828709564849925e-07,7.818212840323006e-07,1.3449471890560577e-06,1.5777396761158418e-06,1.1450509556060226e-06,1.4039563712016453e-06,3.825864754034798e-06,3.492546058221302e-06,1.2616431407794957e-06,6.619517958408311e-07,7.16277512248074e-07,7.430228606723989e-07,5.844639022037105e-07,4.6922154881790006e-07,6.392887112681901e-07,7.451767385208994e-07,5.379916600547185e-07,7.340877278999453e-07,1.1390739432986903e-06,6.962851969385965e-07,3.926569904138116e-07,5.45130897144061e-07,7.847607519320525e-07,9.6874363912761e-07,7.49101759658647e-07,6.153547617755638e-07,8.241341699781887e-07,6.496871255043865e-07,1.0893712572903707e-06,1.5394131613648152e-06,1.472153072186426e-06,6.616806466324297e-07,8.478724569479114e-07,2.8859409897626173e-06,3.4486236284950413e-06,1.3727393827818317e-06,8.329854902196576e-07,7.3417026885533725e-06,5.1554328967271136e-05,0.00011306523382694696,7.175090507209375e-06,0.000239705197018907
scale_9,7.885506971147274e-07,0.00046110948345090736,0.00045458852047458625,7.884925370447978e-05,1.8332035899849728e-06,1.7260284698551906e-06,3.5354475016021387e-06,6.276072216875536e-06,5.1585795810775285e-06,6.354292294505982e-06,6.471892176570847e-06,4.268752625366791e-06,5.0984492510218105e-06,2.9369869791031693e-06,1.0163679331017758e-06,7.514337643666825e-07,6.068754552045148e-07,1.0209029097262711e-06,1.3672539090272745e-06,1.137950624698394e-06,9.231969637977577e-07,1.567484361612901e-06,2.9495116653176566e-06,3.825467149260093e-06,1.250585742962226e-06,2.2650246297484898e-06,3.5217215399766273e-06,1.536333006908925e-06,6.901650786099467e-07,7.323190941041456e-07,8.494406545446114e-07,8.46353938964911e-07,6.325482137562825e-07,7.102199946628567e-07,1.1865066829929489e-06,9.951458667895103e-07,6.144834047544748e-07,1.417705603710601e-06,1.3136559100549135e-06,7.034552222962317e-07,6.894938100819279e-07,7.599632090601973e-07,1.1767352621214183e-06,1.2543254834155681e-06,8.530889846101009e-07,1.5425138714682054e-06,1.2181605318467281e-06,1.1473902872637515e-06,1.4677030375066613e-06,2.2043135387620417e-06,2.1589609804986457e-06,6.554054836548488e-07,1.2421762350328823e-06,3.2798915421654786e-06,2.1497792401397556e-06,1.3966456383477723e-06,2.0510884152866492e-06,8.600069389152551e-05,0.00046968883073312997,0.00046738158140348276
