,time_0,time_1,time_2,time_3,time_4,time_5,time_6,time_7,time_8,time_9,time_10,time_11,time_12,time_13,time_14,time_15,time_16,time_17,time_18,time_19,time_20,time_21,time_22,time_23,time_24,time_25,time_26,time_27,time_28,time_29,time_30,time_31,time_32,time_33,time_34,time_35,time_36,time_37,time_38,time_39,time_40,time_41,time_42,time_43,time_44,time_45,time_46,time_47,time_48,time_49,time_50,time_51,time_52,time_53,time_54,time_55,time_56,time_57,time_58,time_59
scale_0,7.258077773558225e-06,0.0014750825185545712,3.364123431262018e-05,8.578016642967638e-05,2.0468955005610096e-05,2.8336039354115857e-05,1.0593682912032117e-05,1.0871889645951925e-05,1.7744617099442453e-05,1.3804509464921798e-05,1.6685775938651677e-05,1.4876585091942136e-05,6.021315508509996e-06,1.2376963261648194e-05,1.2146910021634895e-05,6.3130573143247276e-06,7.947562270739314e-06,8.556744523195623e-05,1.8385108443866985e-05,8.966804411138021e-05,1.3857199348475618e-05,1.186708783895475e-05,9.423092402725092e-06,1.225642635447756e-05,1.0892037224926453e-05,1.9595698789143647e-05,6.721443111393249e-06,1.2965090450069273e-05,1.4656275882386097e-05,9.150625648807612e-06,1.9570388256835398e-05,9.41913536997011e-06,1.0460556274634483e-05,2.2078786374021585e-06,1.0840138020626245e-05,1.4299165811281007e-05,1.2798243703061492e-05,1.3180641345760834e-05,9.656618710881313e-06,6.910067188298e-06,4.815177813708803e-06,2.2789765080035592e-05,2.448868598902724e-05,2.6020929816437947e-05,2.8358820479646194e-05,1.249947183957658e-05,4.011614260241992e-06,8.649041012076991e-06,9.111952038246682e-06,7.662766853460285e-06,1.5302258555452127e-05,3.316058789184919e-06,1.8784634022194356e-05,5.5869725103808915e-05,4.395378763635159e-06,0.00022200853804754547,9.260745858611541e-06,0.00014546044137021566,1.0638431606149655e-05,0.0013750090511798828
scale_1,0.0001926946798972515,0.0005280850218803617,0.00011532577931731589,4.040628923881817e-05,1.6056573437363417e-05,2.7603937119297997e-05,2.091754562553148e-05,1.0303136207762288e-05,2.4546992107460782e-05,1.9100983258817855e-05,2.1488052151660867e-05,1.962951631205493e-05,1.1818422228387281e-05,1.530184760486543e-05,1.267854044539198e-05,7.38151149988017e-06,2.5514209716682442e-05,0.00023009431745180255,4.667259881499057e-06,3.999327991379375e-05,8.109259499535653e-06,1.3244263424748176e-05,9.856554651811515e-06,1.9589898373713936e-05,1.1230949867149126e-05,1.9053000997376595e-05,6.162038204755563e-06,1.3259197495067698e-05,2.0412187371156317e-05,1.6106674429332583e-05,1.7326508996349893e-05,1.3403200716840899e-05,9.135460883466035e-06,9.11008495514004e-06,1.7028484400364804e-05,1.6131046715275364e-05,1.5318773172404238e-05,8.751455586174461e-06,8.440016240637555e-06,1.0737541571125033e-05,6.892880620215517e-06,4.2324003189848644e-05,5.306737798818723e-05,2.9758812868065222e-05,2.2045951975122186e-05,7.440182541965549e-06,3.946941045123633e-06,9.664711444457923e-06,1.710295463723094e-05,9.861716567325895e-06,1.0455418735007394e-05,9.487861991841496e-06,1.8895390063154717e-05,0.00010659673390619498,7.22520185533849e-06,0.0003315083521435753,1.8005935558927293e-05,0.00011843368657731587,9.43741704894922e-05,0.0037780462623661143
scale_2,0.003902958250777429,0.0004980538982830492,0.0002550225689736106,0.00014008997976278282,2.8313229581455617e-05,1.0036067137471348e-05,2.607793687518893e-05,2.446296382197719e-05,1.3648979754575049e-05,2.232514229021407e-05,1.920649206749918e-05,1.890205521649577e-05,1.9232028482643247e-05,1.6862020596287824e-05,1.5232852585514825e-05,9.252434432092368e-06,7.439576271277563e-06,7.707253828658804e-05,0.00022956834935352095,4.963292014151725e-06,1.7486052285602763e-05,1.0170643497822049e-05,9.713341565838012e-06,8.459219231538811e-06,1.7726009397662305e-05,7.783641997196544e-06,1.158421491932617e-05,9.982810651240807e-06,7.811082800273557e-06,2.3472766581051558e-05,1.4475082385762173e-05,1.2450075112856345e-05,9.24633168521992e-06,1.082213222569048e-05,1.8854907327113882e-05,1.5663372044293853e-05,1.2716232913263261e-05,1.1502419107161806e-05,4.993140214577397e-06,5.28134330955107e-06,1.2525150601743663e-05,1.2948477638452289e-05,4.481632658753468e-05,5.372210421373115e-05,3.173131006862934e-05,1.7560604750304024e-05,6.063400105487103e-06,5.009401375023397e-06,6.728511153849599e-06,1.8307627555715685e-05,7.682799802882755e-06,4.674548914442028e-06,2.2295897766929295e-05,7.249811461712705e-06,0.00011429713288487555,2.475064134814531e-05,0.00030120078872852705,5.782415470971421e-05,0.0001942461028848383,0.0004556671963261543
scale_3,0.0005012216753583961,0.001566171125995717,0.00021914037077814833,0.00012017769681822072,5.968465418403859e-05,1.6927613921803e-05,4.51259078372689e-06,1.5678837886059117e-05,1.284566457256353e-05,1.3366052302307591e-05,1.3817936656444656e-05,8.455645124770187e-06,7.043443281046536e-06,6.468789132275144e-06,1.0415283475789654e-05,1.0059065229264811e-05,1.5750600859890394e-05,7.3623637153024e-06,7.076698598610535e-05,8.23113576595019e-05,4.155961784643029e-06,7.171685977654533e-06,6.35486631111379e-06,4.505041409020887e-06,7.075266468254229e-06,6.594955205379188e-06,4.195457320952006e-06,3.3591854399857047e-06,1.1153763431151116e-05,1.4226282389541982e-06,1.7965983391347145e-05,7.153724289175255e-06,4.093574308305591e-06,2.2118687781742584e-06,7.429571991298743e-06,1.5228236043470222e-05,6.2263525494889395e-06,6.01773314589044e-06,4.310352565955552e-06,2.7639076852731602e-06,4.886164283346345e-06,1.2350235637553158e-05,1.4467389186586711e-05,2.449718642717602e-05,2.1421965816034947e-05,1.5232724929542137e-05,6.465655947174053e-06,3.2714459639333347e-06,5.874421719522458e-06,2.7084402100942753e-06,7.106828538592708e-06,3.8105832492326233e-06,3.3630065860051044e-06,1.8338622889053755e-05,3.224564247106467e-05,7.199157989050104e-05,3.5836451827022655e-05,0.0001388033471497265,0.0003412403091952193,0.0003913520939879397
scale_4,8.839078464696098e-05,0.00019469330071490525,2.6370001496637924e-05,1.673995567871927e-05,1.685187992170914e-05,1.0871270332156577e-05,4.225962036586399e-06,6.353204610233875e-06,6.661367844356712e-06,1.178949217256192e-05,1.2345712467957852e-05,7.125831783030733e-06,4.944205318363822e-06,3.4658637692571926e-06,1.1276815970039466e-05,3.67327080429611e-05,6.443012367052916e-05,1.5274714268649584e-05,9.694595817676012e-06,1.078180093631487e-05,2.680866827909288e-06,2.4737613629836993e-06,3.3138007433173606e-06,3.257448218362812e-06,4.490736967931164e-06,2.232718888862174e-06,1.978299718962081e-06,3.961131551101075e-06,5.98518206111491e-06,2.189084714332767e-06,1.0334598784449395e-05,8.041108422976446e-06,4.8947468627297535e-06,3.0502193160933475e-06,3.298569553940437e-06,5.498409953584686e-06,1.972393172326627e-06,2.166313011595176e-06,3.082396357405356e-06,4.810098822568488e-06,1.3479131951100009e-05,1.9624855724785597e-05,1.5116959198204562e-05,1.006959454270514e-05,4.102348869146318e-06,2.3926274593885454e-06,1.8778107801621242e-06,4.32962670590212e-06,5.422582304358614e-06,1.4191271337492972e-06,1.4951764381816892e-06,2.4673963871313206e-06,6.9463085790422294e-06,1.1011688741801149e-05,7.436141556706034e-05,3.812127275461456e-05,2.3816693546072396e-05,0.0003625510790136973,0.0012419011881680928,0.0007064034898448588
scale_5,0.0014783749389596112,0.0004766421107544054,0.00017314382597088815,5.086146430989533e-05,1.6071329471746925e-05,2.3333286210677464e-05,2.1119197912458658e-05,1.1398433533946877e-05,8.982237844695492e-06,1.2854802786708995e-05,2.3837516173438897e-05,3.0985173459022864e-05,2.8631619319984982e-05,2.1463862734311038e-05,2.305857251156567e-05,6.0591594656697734e-05,0.00013699912755413084,0.00015283767757568833,4.989894616273529e-05,1.1066595823838039e-05,7.0634779018485335e-06,5.11679086428901e-06,5.09616799016077e-06,6.774634668798925e-06,6.836517018094426e-06,7.739511976812431e-06,5.882902032497888e-06,5.2834408547612966e-06,9.012321910708194e-06,6.9449035754953755e-06,7.5754708495044684e-06,1.763791523941919e-05,2.3111572907525822e-05,1.8651121733738786e-05,8.851944569679e-06,4.8775670071560505e-06,5.566282765036921e-06,4.284609929012935e-06,5.69467697951373e-06,9.855113926432385e-06,1.9436277386931724e-05,3.893829230854977e-05,4.743161078890625e-05,3.735754756115631e-05,2.1768839225542476e-05,9.152692429116604e-06,4.669731607210815e-06,6.239430073694828e-06,1.144293186291607e-05,1.0845943862079725e-05,6.663410350685682e-06,5.258574535285899e-06,5.564612902673093e-06,1.1494941425195521e-05,5.9408032725142e-05,0.00012445520825567062,8.092120560976696e-05,0.00035598546654003335,0.0016382590607169458,0.0029801952143623713
scale_6,0.003382566827976361,0.0014886881718402414,0.0004584354277384986,0.0001716504773588652,4.3269613925188845e-05,2.73940853801956e-05,3.4773303203310265e-05,2.3987945029538046e-05,1.3633642804155995e-05,1.3598848752023993e-05,2.6584258315531795e-05,4.369089193194559e-05,4.799592937098511e-05,4.037667136883683e-05,3.376518206962518e-05,6.343855092050745e-05,0.00015034529116538905,0.00023399107153617874,0.00015803052426405342,4.266592258435101e-05,1.1773045462435171e-05,9.000195756356044e-06,7.5368645810461344e-06,8.770757779999817e-06,9.838614263563188e-06,1.1258479195666915e-05,1.0330113993736152e-05,7.933718400424464e-06,9.837984869996345e-06,1.2638557149567157e-05,8.27213235873898e-06,1.8395889977467667e-05,3.278707566433433e-05,3.285089931854288e-05,2.0778760701950724e-05,8.833002658682446e-06,7.650197787810294e-06,7.374219878912231e-06,7.4034536980296494e-06,1.1780903908133412e-05,2.1121199110963228e-05,4.3404759125022005e-05,6.690465118333618e-05,6.623191690902022e-05,4.6239389114661664e-05,2.356795531482339e-05,1.0213090169009637e-05,7.841025584890502e-06,1.2948784082679536e-05,1.81880042442578e-05,1.4191047455859331e-05,8.51690381612843e-06,7.389701692126568e-06,1.125720648690274e-05,4.126634779876447e-05,0.0001368903892047721,0.00016227012252780995,0.000287652657685946,0.0013943410523830292,0.0036281855069917887
scale_7,0.004059689848772086,0.0020427608037406303,0.0006288870411733868,0.0002456523850288563,6.3635234143982e-05,2.6144348768489372e-05,4.111421097254212e-05,3.272536295869658e-05,2.028208170350955e-05,1.5501621978628492e-05,2.1150086828856153e-05,3.797588792619609e-05,4.81377561382705e-05,4.443828688460824e-05,2.9655412881243138e-05,3.0055306382743438e-05,0.00011629361094065667,0.00026553088475270663,0.00020748481677625586,6.552210494591001e-05,1.5364067572876704e-05,1.0095590524056779e-05,7.271048615327563e-06,1.0502293858124007e-05,1.0170912008511603e-05,1.1929484318689593e-05,1.284359699788774e-05,9.118600142663826e-06,9.719677659075538e-06,1.786153611789285e-05,1.0263831983932352e-05,1.2584037879217493e-05,3.0116893126365055e-05,4.016792546299757e-05,2.9622888094996982e-05,1.1534213912136419e-05,8.284712089089275e-06,7.743999472436287e-06,6.751981350448637e-06,1.0683099810762446e-05,1.6827189585282376e-05,3.783229241483592e-05,6.776269203481481e-05,7.43286397525518e-05,5.703682553813753e-05,3.003374819992945e-05,1.2762851360478513e-05,7.2441548891586156e-06,1.1601558225170224e-05,1.8188360904040878e-05,1.612415889809274e-05,1.2551469064142326e-05,9.446842663148802e-06,1.5933590449797364e-05,2.2611438646664162e-05,0.00014052553316766932,0.00019931841834566023,6.416162379661176e-05,0.0006709017968591585,0.003457502146400716
scale_8,0.0042622878223826125,0.0022260326463857307,0.0005733820921986942,0.0003025771274801184,8.042016230315688e-05,1.83832926864889e-05,4.216771194302158e-05,4.30341961363637e-05,3.250128796953903e-05,2.97013570398621e-05,1.6173436735878123e-05,1.9734810183815772e-05,2.934012973885811e-05,4.02330289168993e-05,4.497075048808465e-05,2.278868981686983e-05,2.4461529437107963e-05,0.00017938847949343107,0.00026053091143385105,7.599261829579563e-05,1.5022063176081465e-05,1.1469561170012597e-05,6.9698494839594094e-06,1.1483467544049099e-05,1.1805905026045538e-05,1.0834056863806671e-05,1.4766304042732642e-05,1.1772955972613609e-05,6.422340871025231e-06,2.7294975931821e-05,2.4466121892411786e-05,6.6352916707099935e-06,1.6897374327721883e-05,3.486841202680114e-05,3.642874820612503e-05,1.6520079585700864e-05,8.239523867810106e-06,9.87249465419854e-06,7.1713801164001375e-06,1.4800916708077492e-05,2.1531816708071402e-05,2.4237234894542912e-05,5.1796979404412054e-05,6.708808043643532e-05,5.5774893335915934e-05,3.217107529664446e-05,1.4055980958393859e-05,7.810161065626155e-06,5.923815785971221e-06,1.3177175004335248e-05,1.536349041808087e-05,1.5683160958668823e-05,1.7630804821178027e-05,5.779524150143604e-05,3.804503844205853e-05,9.451312652788274e-05,0.0005026357081781671,0.0007669706013116504,3.842866986061378e-05,0.0013390792597310788
scale_9,0.00019574691684696183,0.003268962967437063,0.0025013312295464217,0.00044469328935309516,0.0003393730830615991,0.00014350412296758268,2.5526541369233767e-05,4.4000572355673096e-05,5.6999098454533894e-05,4.964654481693382e-05,6.34045405490213e-05,3.894978367364028e-05,1.5012334752484692e-05,1.4234244414186474e-05,2.927330343314728e-05,9.182955534637252e-05,0.00015814177808954968,6.092463997604654e-05,6.541193135198084e-05,0.0002533457133541583,0.00010361645096386424,1.724995695427344e-05,2.0203134346138167e-05,1.1242844746948507e-05,1.8102790736696767e-05,2.0446700342059008e-05,1.0544863647309055e-05,1.679634275982617e-05,2.8686554921845033e-05,8.95929561047878e-06,3.3550446451078244e-05,5.870163408405329e-05,2.28405737813373e-05,8.649011578904737e-06,2.3312643291643963e-05,4.3660944464756435e-05,2.8000846074149658e-05,1.0010663271863952e-05,1.5324047162496914e-05,1.3663500847779894e-05,2.9865463086232185e-05,6.133935047701472e-05,5.5365946555254814e-05,5.631143970834875e-05,6.0494866032834585e-05,5.068957951664554e-05,3.252910137908646e-05,1.8624356006869146e-05,1.990348513776218e-05,1.0073836832085103e-05,8.157580871343377e-06,1.283996632182613e-05,2.4220130710642893e-05,2.9674452378230342e-05,0.00014290597302601347,0.00024652595900343015,1.3218022764876535e-05,0.0006541577489578653,0.002868649956886451,0.0028659441460267775
