,time_0,time_1,time_2,time_3,time_4,time_5,time_6,time_7,time_8,time_9,time_10,time_11,time_12,time_13,time_14,time_15,time_16,time_17,time_18,time_19,time_20,time_21,time_22,time_23,time_24,time_25,time_26,time_27,time_28,time_29,time_30,time_31,time_32,time_33,time_34,time_35,time_36,time_37,time_38,time_39,time_40,time_41,time_42,time_43,time_44,time_45,time_46,time_47,time_48,time_49,time_50,time_51,time_52,time_53,time_54,time_55,time_56,time_57,time_58,time_59
scale_0,0.455697146055499,203.50010892499114,0.7121835511916895,0.5068449241257288,0.0007310777693411701,0.004574148815152895,0.0007402397542672411,0.008082804427594015,0.0005609051487867565,0.0004968661381139801,0.00034911214396553096,0.0005243707420719497,0.0008712671990797452,0.0010164185825912745,0.0006937294287133219,0.0004220522863918666,0.0007036311734715322,0.0005617980151285754,0.0006235639180103086,0.0005783349537811038,0.000347067911743055,0.00019792519291056084,0.00021175882298622392,0.0003425425159637177,0.00044841550936390806,0.00017981770247876938,0.00030910824079825525,0.00043299735537112165,0.0005577709431540788,0.0018469284591924855,0.0012496081801395516,0.0009592720860948736,0.0009377966692095975,0.00028273668273397733,0.0003780816312851528,0.0006142812440281118,0.0009713390857827946,0.0007571818397825848,0.0003509748470871947,0.0005285105127305162,0.0007386406647049009,0.0006081860944245346,0.0006730589618954305,0.000881381707550759,0.0005579337591287939,0.00047845654383286106,0.00049357973570185,0.0006426511835631552,0.0003939198248087255,0.0004917417746525411,0.0008086047007152659,0.0006724754778031276,0.00028876974437440817,0.0003136309881158349,0.0004521065990418652,0.00034218404159067344,0.00045734090521138023,0.04539297792396587,0.27635117399005954,204.89965270571278
scale_1,40.89478012338359,40.72831712770308,0.7128854607939067,0.10782390638437409,0.0066223566642079085,0.016719955859860563,0.005710238799778555,0.0036928011624354166,0.0008766801195189726,0.0010424748494220787,0.0012814026196957887,0.0013669604093243957,0.0016605728787812907,0.0015123965047881517,0.0015980774380935333,0.0014715226150931074,0.0012323046314592296,0.0011609107676993425,0.0010949395573917442,0.0011924397733744498,0.0010728882616393935,0.0009385433057359893,0.0009374034780600958,0.001166803282840098,0.0010489693578913566,0.0008974863190810548,0.0012299745171603404,0.0012065520618931528,0.0015994807941231192,0.0030870318421776736,0.002052276782684871,0.0015106981349764428,0.0010040212463611133,0.0010077627999060966,0.0014514608937124605,0.001618088973470749,0.0017243889507437336,0.0019224999605743649,0.0011033846918780661,0.0012828234728128173,0.0019953106298764563,0.0016971311387186047,0.0013428752088528156,0.001406911121328808,0.0010676451797727107,0.0011913858356121967,0.0014111457152771669,0.0015021569511670613,0.0014062559430749238,0.0016493015440028377,0.001331814244685133,0.0009645285388240931,0.0009569618150805223,0.0010468423620333311,0.0011705587227526927,0.0010484331038736838,0.013140386751550808,3.3055660247332486,10.321588365558453,570.6517871324513
scale_2,601.222440548669,97.2018608522982,3.235193629600016,0.36143437708974885,0.0008854929483579166,0.004098688309093618,0.02049855415126368,0.0066234164441505775,0.0006522166752012083,0.0003501569844998976,0.0007300001461395384,0.0009012231193680789,0.0010279472791163476,0.000996408067918757,0.0006228751326364615,0.001148518861827368,0.0008914614667882625,0.0005677869949384419,0.0005960455027146372,0.00046532408357800696,0.000437564771659213,0.00038315926085691045,0.0003410649433713894,0.0004621675209417427,0.00048077139928299307,0.0003379567837381164,0.0004654869403442512,0.0005825435297939855,0.0007517216338896851,0.0013077661036033199,0.0016018301107539146,0.0010887486449533408,0.0007161602902451785,0.00033655066732178954,0.0003748607625638739,0.0009427570845022043,0.0009461866232304076,0.0008795981032819556,0.0011416739961878206,0.000530319761330294,0.0006185291626114926,0.0009597172008415176,0.0009092936558246187,0.0006541688151326024,0.0006326852397498178,0.00043413042474798263,0.000665577602749828,0.0006697657654430539,0.0006024514485669871,0.0007575673503560473,0.0011102485887833932,0.0006200578883784647,0.0003694228007285965,0.000458218710489391,0.0005035621834252211,0.0006804489923781529,0.007786520760317749,2.9515511622782005,21.209475577801093,65.05174190445554
scale_3,64.1006123911274,232.62114862482645,43.21295105501377,2.1667902537671284,0.1922115179466012,0.011541017938138692,0.001409718115445451,0.009375145649909657,0.0021375105607134405,0.000263268189274984,0.00012197980179234367,0.00037197010109599367,0.00034861827835809496,0.0006603186399399568,0.0004755700294138879,0.0001943951600476035,0.0004981197666290736,0.00024361916306533295,0.00020737891948718925,0.00019575077079924782,0.00016284917408108097,0.00010970702720960067,0.00010921628908175122,8.538353119014784e-05,0.00018604098010258807,0.00013182805704543263,9.231307489830873e-05,0.00022034895573910774,0.00032239660441688587,0.00030093460377422006,0.0008984953859151425,0.00038707237880223326,0.0003623613024698061,0.00019264267592538202,0.0001827059940559204,0.00021927971121166604,0.0005335921005975231,0.00035325453024648236,0.0003298815297301553,0.00041401721929069783,0.00023856909992929097,0.0003333890619604746,0.00026762806922803195,0.0003140102839687732,0.00017125922720904262,0.00015026301286641305,0.00017348316438337496,0.0003024483664982019,0.00029540633325279766,0.00026357043842432676,0.0002748212617597525,0.0004114878950653927,0.0001708395886542182,0.00017341681092070192,0.00016417662915605308,0.00016413426157239455,0.014422978948326245,2.7119304415236027,46.12299499972659,56.22002219644936
scale_4,1.4696616688944621,14.662841989592778,3.5544067027003643,0.2534948159456216,0.0417527151408809,0.00827315245747576,0.0001663092265273642,0.0007670100182852764,0.0003819520143718938,0.0003343735053076416,0.0002457564160102241,0.00019583585146193907,0.0001704743051318435,0.0004535715692675439,0.0003635477266335553,0.00013726292448401674,0.0001231338361272151,0.00011425553309524374,0.00010409873092010723,7.026646348175475e-05,6.783827957096873e-05,9.707123065513454e-05,0.00010791197510260285,7.349649608457038e-05,0.00011114786662368052,0.00015693588012520202,0.00015042234301678418,0.00029039197076091196,0.00039615259437146625,0.00012803587892102036,0.0003399706573310009,0.00012128249586069137,8.417908970974627e-05,0.00015118062217385375,0.00024993824076664767,0.0003419509851416626,0.00041155800928647216,0.00019108672226703712,0.00015559099858127433,0.00023997079015564032,0.00020015097708792596,0.0002070796630142059,0.00016414187666421485,0.00014749751461845195,0.000116078281355491,0.00014346898150677053,0.00013881527655000922,0.0001818358436742355,0.0002889825402557964,0.00023207968449624617,8.377932382246327e-05,0.0001079677702063521,0.00012279210787046683,0.00019715487475118325,0.0002589769239394946,0.05298437133077132,3.4438443702276076,53.38207105712114,185.65672528273674,106.71168691910442
scale_5,261.2575962497062,66.41489995636653,5.417833695486774,0.3442963745503554,0.0020291807895718847,0.011255474617920126,0.010331887613348778,0.002500310294741618,0.0005923490558871737,0.0007465362545382088,0.000895660823386172,0.0007995901290308124,0.0005083988552277008,0.0004784964988567021,0.0008490918408657611,0.0008432351104383593,0.0005284042979679755,0.00043332986543464234,0.0003326163625628184,0.00028085649753637485,0.0002149992284312872,0.00023624601390557506,0.0002862083283958241,0.0003150003009766152,0.0002671574007055705,0.00037103026423328494,0.000491871540263285,0.0005782550064554365,0.0009229676435806803,0.0007641696482964753,0.0005261082319308032,0.00043920235902119274,0.00029442654454182984,0.0002597084030639214,0.0004705568550497123,0.0006560992401975184,0.0008452801137258378,0.0009430486822759007,0.0006085583789193323,0.0005416172445798581,0.0005960907630990998,0.000587396574024177,0.0005237043006275482,0.000528451493895552,0.0004942690067094627,0.0005179934482866281,0.0004547285119474893,0.00039485587888906846,0.0004962445115972915,0.0006835663405031701,0.0004635410059886204,0.0002774599367711182,0.00025185062619447303,0.0004101768253429418,0.0019488610885621661,0.1357263010306842,4.503460206986234,56.12571223762206,250.94585559236498,452.76631512945204
scale_6,581.9873822665315,255.4361642940469,45.42796636832095,4.53134542661032,0.24090693278989336,0.0022833143703505773,0.015971984324515017,0.009312355957957324,0.002093749698796647,0.0009274324212440509,0.001263988912743955,0.0013226718611886376,0.0009494438778107453,0.000631796249092339,0.000949131598765795,0.0013228858057737173,0.0010338734994432596,0.0007289593675414117,0.0005565264357068987,0.00045754147450573137,0.00033956405655640826,0.00031156865393263045,0.00036207958333859185,0.0004434910786665392,0.00039692732527467985,0.00045794946025294185,0.0006419120397941227,0.0007719991252578049,0.0011121804730134081,0.0012988288141322364,0.000901562941786131,0.0006869885352294542,0.0005432714962141737,0.00036261213290947125,0.000491621881687611,0.0007804884204075582,0.0010919257861445662,0.001372263996537822,0.0011548495448576617,0.0008338899045911947,0.000825006763108936,0.0008535400029650831,0.0008186602770442077,0.0007824631794033554,0.0007739654442206075,0.0007701734521727678,0.0007160666184160046,0.0006020763016449465,0.0006051387843223896,0.000849909145840779,0.0008509708336840543,0.0005407039317293645,0.00035003731279834537,0.00046856061173074925,0.0018419698896636953,0.08303881098518384,2.8047316844194214,40.562022254890586,216.57503256726707,553.0081983175628
scale_7,687.1984011978218,360.46436069467944,74.85870770011785,7.418308310155422,0.4213373567134095,0.002127828140363988,0.018486256729942106,0.013088307081976823,0.003200376307325967,0.0008522863540824054,0.001213627325582725,0.001484911222327237,0.001287134087940825,0.0007123140254028878,0.0008444710667085624,0.0013775990821205935,0.0011247186314974809,0.0008356481785583605,0.0006191555583603117,0.0005201522823486538,0.0003801074853510395,0.00031646653823972417,0.000359695282797869,0.0004807678313906614,0.00039863328155833493,0.00043304459813102566,0.0006100846605747456,0.000701348045223418,0.0010830372594374889,0.0015011984822481963,0.0011003494404833963,0.0007984458299161951,0.0006628237945805768,0.00039986087921924747,0.0004956285657764901,0.0008031776970678449,0.001039000774244458,0.001458332841821059,0.001350467551426809,0.0009366049466635206,0.0008745722748918335,0.0009113470685659351,0.0008683318142286942,0.0007664404470276733,0.0007252046271961986,0.0008256268447496251,0.000830006257937112,0.0007093808592899376,0.0006259503639265916,0.0008884685422495852,0.0009859028548629785,0.0006580616697033875,0.00039567387416132176,0.0011425928857357042,0.03195793454723222,0.3945015340459411,1.6564168259951406,1.060750941963033,105.36759248419241,528.1690261164975
scale_8,671.1753177732027,400.5666981050206,74.91520634181357,5.215947263998305,0.31263903320687125,0.011659190931138968,0.02670803073542287,0.018630017301308976,0.0031632750622148037,0.0005820644559011321,0.0008101302175597942,0.001212453452948998,0.001685638770774504,0.0011250182761321685,0.0005866836275595482,0.0010106612227490529,0.0010367544726913407,0.0006692874121077974,0.0005830170864181766,0.00047011467726541437,0.0004306303915101599,0.000313290391545173,0.0003059221530726497,0.00041502440255302174,0.000506561774961599,0.00034269405641097024,0.0005348393318926405,0.0007316946063990172,0.0005912385876162801,0.0014168919573884272,0.0013741500850993269,0.0007720140627689185,0.0008652307169188556,0.0005004117551355821,0.0005267248324572717,0.000984822288256973,0.0008941330091592276,0.0011664442483256137,0.0014892415485312086,0.0009013146685834042,0.0007463748362871652,0.0009161191159946781,0.0007702314032319125,0.0005818906941606054,0.0004957562705033927,0.0006239255018922941,0.0008313389370249838,0.0009520995333165975,0.0006846864976938969,0.0006497057281824679,0.0010438299423085008,0.0007774983839572871,0.0004308552111207061,0.0017079706433804484,0.18982873956176402,4.991644973040963,42.01342807181358,99.11520011984435,4.046833061083804,204.23980974541928
scale_9,4.2079058664494795,418.52049020691135,410.9117117387869,74.70566549781053,3.1826162133473908,0.8060400677507829,0.0901072071802746,0.03234037071106459,0.022483906128899587,0.0044509547860645485,0.000933410721499785,0.000863162556739597,0.0009261804493231826,0.001986976416099137,0.002416104579444579,0.0008170444520376813,0.0008114006698632032,0.0008417018687705295,0.0006389990777131313,0.0005338301955638851,0.00044836305726368995,0.0004587728085591159,0.0004653205453711133,0.00032935312088444157,0.0004433949628261452,0.0006585048966832902,0.0005397658523059958,0.0007478483613291374,0.001388993478055666,0.0007417461499347604,0.0012734518088116096,0.0018232170340702883,0.0006735625157513952,0.0009521239440572995,0.0009428613136431012,0.0009332390447520154,0.0017343573677868868,0.0014423342260576843,0.0008269095115813543,0.001540361210489066,0.0012173861099687205,0.0008764719237098122,0.0009768814819576714,0.0008864878117643745,0.0006455682007233614,0.0004004902505888979,0.0005622466991477962,0.000848471560003112,0.00132406543011669,0.0012908444420498017,0.0006708542851623638,0.0008849894472879519,0.0009358523659300395,0.0034646677328714396,0.09128117433707005,0.4597981444846438,0.5516009129111843,69.01708136230751,409.77970104078423,421.48996864885
